token,fold,tau,coverage,width,pinball
MLG,2,0.9,,,0.021437592125528683
MLG,2,0.95,,,0.01377004775803815
MLG,3,80PI,0.6666666666666666,0.17842918840974012,
MLG,3,0.05,,,0.015596300299011167
MLG,3,0.1,,,0.028618044401264073
MLG,3,0.25,,,0.039677373925268974
MLG,3,0.5,,,0.04430798977971842
MLG,3,0.75,,,0.03893612780975355
MLG,3,0.9,,,0.020705762506597558
MLG,3,0.95,,,0.014415761774182726
MLG,4,80PI,0.4666666666666667,0.12048945673968739,
MLG,4,0.05,,,0.01598696408485754
MLG,4,0.1,,,0.029154906430856314
MLG,4,0.25,,,0.03934780244398408
MLG,4,0.5,,,0.04482812549974076
MLG,4,0.75,,,0.0314499149249611
MLG,4,0.9,,,0.01745657440158967
MLG,4,0.95,,,0.011862460195899198
MLG,5,80PI,0.26666666666666666,0.2627967006082156,
MLG,5,0.05,,,0.017988575765082355
MLG,5,0.1,,,0.03246114336950717
MLG,5,0.25,,,0.057491923391435135
MLG,5,0.5,,,0.07155452507483143
MLG,5,0.75,,,0.0743838202998218
MLG,5,0.9,,,0.06896340721863053
MLG,5,0.95,,,0.05690835117218183
MOODENG,1,80PI,0.6666666666666666,0.15170668780766977,
MOODENG,1,0.05,,,0.008718027061832964
MOODENG,1,0.1,,,0.014677028233967307
MOODENG,1,0.25,,,0.027527780968357996
MOODENG,1,0.5,,,0.03287701052143667
MOODENG,1,0.75,,,0.024572508340707504
MOODENG,1,0.9,,,0.011829458866621042
MOODENG,1,0.95,,,0.00866308395310023
MOODENG,2,80PI,0.36666666666666664,0.09805294999118284,
MOODENG,2,0.05,,,0.013591210035157147
MOODENG,2,0.1,,,0.01642002859676649
MOODENG,2,0.25,,,0.024574574093067403
MOODENG,2,0.5,,,0.03337003466954134
MOODENG,2,0.75,,,0.03703541740021844
MOODENG,2,0.9,,,0.03164500363633074
MOODENG,2,0.95,,,0.026165040988294013
MOODENG,3,80PI,0.6333333333333333,0.20631819678058735,
MOODENG,3,0.05,,,0.010546822435558519
MOODENG,3,0.1,,,0.017763133566142304
MOODENG,3,0.25,,,0.05091834620811696
