token,fold,tau,coverage,width,pinball
AVA,5,0.1,,,0.021133434301664752
AVA,5,0.5,,,0.08589075517039656
AVA,5,0.9,,,0.02943916479578947
FWOG,1,80PI,0.6666666666666666,0.22702371365613636,
FWOG,1,0.1,,,0.025508156838794534
FWOG,1,0.5,,,0.07408768498832193
FWOG,1,0.9,,,0.0388704454846132
FWOG,2,80PI,0.7333333333333333,1.4665462777634561,
FWOG,2,0.1,,,0.1081068166468352
FWOG,2,0.5,,,0.25661108453320186
FWOG,2,0.9,,,0.1358925341251361
FWOG,3,80PI,0.3,0.06268508436166763,
FWOG,3,0.1,,,0.05298581409474281
FWOG,3,0.5,,,0.0539473156311452
FWOG,3,0.9,,,0.031180941131212545
FWOG,4,80PI,0.4666666666666667,0.11287418694887938,
FWOG,4,0.1,,,0.018415838266110207
FWOG,4,0.5,,,0.031956783766770774
FWOG,4,0.9,,,0.024581279941845568
FWOG,5,80PI,0.6666666666666666,0.32280803232033123,
FWOG,5,0.1,,,0.046001446711729045
FWOG,5,0.5,,,0.06428853305641696
FWOG,5,0.9,,,0.02629220494533482
Fartcoin,1,80PI,0.8666666666666667,0.35421942662958567,
Fartcoin,1,0.1,,,0.018514085211133215
Fartcoin,1,0.5,,,0.04902161467571863
Fartcoin,1,0.9,,,0.02534387244816622
Fartcoin,2,80PI,0.3333333333333333,1.4133432409493054,
Fartcoin,2,0.1,,,1.1333003382969606
Fartcoin,2,0.5,,,0.8552778660508278
Fartcoin,2,0.9,,,0.27632334905908545
Fartcoin,3,80PI,0.7666666666666667,0.3642290470767543,
Fartcoin,3,0.1,,,0.01962300348642664
Fartcoin,3,0.5,,,0.044423098561432006
Fartcoin,3,0.9,,,0.028876954121072034
Fartcoin,4,80PI,0.5333333333333333,0.2723570313748555,
Fartcoin,4,0.1,,,0.03762336320244149
Fartcoin,4,0.5,,,0.04465612090773273
Fartcoin,4,0.9,,,0.024692531442928912
Fartcoin,5,80PI,0.9333333333333333,0.504324453237267,
Fartcoin,5,0.1,,,0.029323411732914372
Fartcoin,5,0.5,,,0.13191001441816763
Fartcoin,5,0.9,,,0.025901912267164363
Fartcoin,6,80PI,0.5333333333333333,0.16861882270045808,
Fartcoin,6,0.1,,,0.017072381128181283
Fartcoin,6,0.5,,,0.03834450707222719
Fartcoin,6,0.9,,,0.026895376003935892
Fartcoin,7,80PI,0.3333333333333333,0.10316782302096998,
Fartcoin,7,0.1,,,0.01648119180880485
Fartcoin,7,0.5,,,0.0494309108116593
Fartcoin,7,0.9,,,0.04646252618522324
GIGA,1,80PI,0.3333333333333333,0.08733256511319103,
GIGA,1,0.1,,,0.05682206260993817
GIGA,1,0.5,,,0.040093029860208164
GIGA,1,0.9,,,0.012744835045583096
GIGA,2,80PI,0.4666666666666667,0.10693760148338918,
GIGA,2,0.1,,,0.12653431655985461
GIGA,2,0.5,,,0.08824021791587917
GIGA,2,0.9,,,0.03129512040936874
GIGA,3,80PI,0.3333333333333333,0.11018632314643724,
GIGA,3,0.1,,,0.037344447388221555
GIGA,3,0.5,,,0.05268899490302225
GIGA,3,0.9,,,0.0302987833776068
GIGA,4,80PI,0.3333333333333333,0.07484052166898221,
GIGA,4,0.1,,,0.019093248570500706
GIGA,4,0.5,,,0.03704774969374947
GIGA,4,0.9,,,0.026820962892223302
GIGA,5,80PI,0.5,0.11984363486334836,
GIGA,5,0.1,,,0.025217720955442686
GIGA,5,0.5,,,0.03939336176108453
GIGA,5,0.9,,,0.013922091697429867
GOAT,1,80PI,0.6,0.11174079393619667,
GOAT,1,0.1,,,0.012264636403709958
GOAT,1,0.5,,,0.04121717567614478
GOAT,1,0.9,,,0.014047062211221983
GOAT,2,80PI,0.2,0.2399757173823001,
GOAT,2,0.1,,,0.042282062245018626
GOAT,2,0.5,,,0.17439391696544557
GOAT,2,0.9,,,0.14054274108722412
