token,fold,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90
Fartcoin,7,0.03328470929974982,0.05654579059133274,0.0410452414610763,0.024958130145398508,0.02041339770333912
Fartcoin,8,0.03416920972076415,0.04083568781802537,0.04701058421985602,0.0473201178917096,0.04231583416222054
Fartcoin,9,0.019468297970709817,0.024143270140248998,0.04884347363290817,0.05344498411034367,0.04251119731191864
Fartcoin,10,0.04515964509977135,0.07827030300515089,0.0804297645689544,0.04722897250973734,0.031601996767579944
Fartcoin,11,0.05006858349082808,0.08473749016275284,0.07281014771969722,0.06274386285621586,0.027327154801866187
Fartcoin,12,0.013593839553390821,0.01914212436294165,0.04669781870518047,0.059308503578990056,0.03839165853077183
Fartcoin,13,0.014316754979833752,0.024154859159419007,0.03490143093413194,0.04187671313685592,0.029964389785505596
Fartcoin,14,0.022722372559784907,0.05000109953863382,0.05222314715006272,0.03357597272245801,0.020719232819367488
Fartcoin,15,0.01908427338547398,0.051379943584880315,0.049437265016263526,0.04078315600659401,0.026752271378375162
Fartcoin,16,0.031301757262870857,0.06458102927067524,0.1061608100046248,0.11325274930126672,0.09065022772587501
Fartcoin,17,0.04677475599877464,0.08364375350929316,0.12134714431391212,0.10137884415948023,0.08537276318855701
Fartcoin,18,0.013845699306241856,0.011152804488885842,0.050053257610327605,0.05494356271443515,0.03233555280186028
Fartcoin,19,0.016040358404363214,0.022561858545470197,0.026686033908279866,0.03233121096613323,0.025438838817639055
Fartcoin,20,0.01977726558869695,0.03897000041376838,0.051250214069666185,0.03753374348579209,0.02423629208433072
Fartcoin,21,0.032250621199151806,0.052172721381465254,0.060624347474567075,0.021973847850742596,0.013417388312484244
Fartcoin,22,0.010965723732833844,0.019750179901144194,0.07006771322689734,0.06538682213233654,0.03719676139375935
Fartcoin,23,0.018180870139150717,0.020776694376150928,0.026194872980932978,0.04218578921160277,0.026399404676384897
Fartcoin,24,0.01457433897116485,0.015762334938644307,0.019683012388547597,0.035911619062325796,0.024572709410754397
Fartcoin,25,0.01576560942853353,0.024762597492938118,0.012145317186479467,0.02346239221771622,0.022927225201234035
Fartcoin,26,0.01978364930547862,0.026140862261960347,0.03099683792204382,0.0352002117247232,0.027507977820849877
Fartcoin,27,0.01721501631054139,0.027599918745463206,0.04526408939834444,0.042504782571296286,0.019245079205476988
