token,tau,pinball
$WIF,0.95,0.03214681127013474
$WIF,0.05,0.013218521103415903
$WIF,0.1,0.010852848259255749
$WIF,0.25,0.01090920822391391
$WIF,0.5,0.018586400632582434
$WIF,0.75,0.015747943292190023
$WIF,0.9,0.01704803555159732
$WIF,0.95,0.021133753863124577
$WIF,0.05,0.017494406547623458
$WIF,0.1,0.02011114085734775
$WIF,0.25,0.009957358941374443
$WIF,0.5,0.01288467425048307
$WIF,0.75,0.016404622914607602
$WIF,0.9,0.017344492522962735
$WIF,0.95,0.018432087235912647
$WIF,0.05,0.021975683471583105
$WIF,0.1,0.019945034893488058
$WIF,0.25,0.04173498637102774
$WIF,0.5,0.05052904051889604
$WIF,0.75,0.0588452329553516
$WIF,0.9,0.017632173770110934
$WIF,0.95,0.012419194082456437
$WIF,0.05,0.016924150204520254
$WIF,0.1,0.01697999950683304
$WIF,0.25,0.02915741467023199
$WIF,0.5,0.03705895603536193
$WIF,0.75,0.03483380173067912
$WIF,0.9,0.023882679094559
$WIF,0.95,0.0172031850773466
$WIF,0.05,0.009131817788173397
$WIF,0.1,0.02461286917592162
$WIF,0.25,0.02544844747676543
$WIF,0.5,0.02639431082831863
$WIF,0.75,0.02310161066299107
$WIF,0.9,0.01808235784759963
$WIF,0.95,0.01836076607052752
$WIF,0.05,0.017300634080788385
$WIF,0.1,0.015933300164753382
$WIF,0.25,0.0203324292867601
$WIF,0.5,0.023164511213092414
$WIF,0.75,0.01709298887785019
$WIF,0.9,0.010337429224191641
$WIF,0.95,0.01865646347296142
$WIF,0.05,0.017646744166924747
$WIF,0.1,0.00879689475941429
$WIF,0.25,0.019438291053464257
$WIF,0.5,0.021892455017875293
$WIF,0.75,0.011466623850775418
$WIF,0.9,0.009345118032655171
$WIF,0.95,0.016988256177498898
$WIF,0.05,0.018538111434261397
$WIF,0.1,0.015711216926774123
$WIF,0.25,0.029372500127464996
$WIF,0.5,0.0362715400427319
$WIF,0.75,0.031152201285268286
$WIF,0.9,0.015309263853903904
$WIF,0.95,0.0121558868930798
$WIF,0.05,0.03001594792857781
$WIF,0.1,0.03857492566465668
$WIF,0.25,0.09643731416164168
$WIF,0.5,0.1680050936685666
$WIF,0.75,0.1768295536852903
$WIF,0.9,0.13684434912415755
$WIF,0.95,0.025680862024404227
$WIF,0.05,0.029209904431589797
$WIF,0.1,0.02265795171516327
$WIF,0.25,0.035957829418797264
$WIF,0.5,0.04365745822512934
$WIF,0.75,0.021677942596765466
$WIF,0.9,0.013326361400487485
$WIF,0.95,0.014395666875097702
$WIF,0.05,0.026327902286023747
$WIF,0.1,0.005115283742248111
$WIF,0.25,0.0067668772883173025
$WIF,0.5,0.008464987688142014
$WIF,0.75,0.00943354204243793
$WIF,0.9,0.012427977172852718
$WIF,0.95,0.014162084192307176
$WIF,0.05,0.029485187321045738
$WIF,0.1,0.008259105657444952
$WIF,0.25,0.02988285154129551
$WIF,0.5,0.027306813043816002
$WIF,0.75,0.01822829694149079
$WIF,0.9,0.01384587466330108
$WIF,0.95,0.016826320075459974
$WIF,0.05,0.03178800818096147
$WIF,0.1,0.019487575757934406
$WIF,0.25,0.022980040458040234
$WIF,0.5,0.029745112177540754
$WIF,0.75,0.026594340030084252
$WIF,0.9,0.01392426591183763
$WIF,0.95,0.016980338820482062
$WIF,0.05,0.008551034859482193
$WIF,0.1,0.010907532933188684
$WIF,0.25,0.027844980678847303
$WIF,0.5,0.024120976418018653
$WIF,0.75,0.022871549184226746
$WIF,0.9,0.012714495727225937
$WIF,0.95,0.02567284279089811
$WIF,0.05,0.013311760345467211
$WIF,0.1,0.010867838879226916
$WIF,0.25,0.010416887915569493
$WIF,0.5,0.01550826447410239
$WIF,0.75,0.019799967690978186
$WIF,0.9,0.008305846168661453
$WIF,0.95,0.02195021149100578
$WIF,0.05,0.018990466401502367
$WIF,0.1,0.012775362174240266
$WIF,0.25,0.017241829244345554
$WIF,0.5,0.042301776430735565
$WIF,0.75,0.03156474539702744
$WIF,0.9,0.01755370868602842
$WIF,0.95,0.022440893356856968
$michi,0.05,0.013574420175594551
$michi,0.1,0.011011295097250321
$michi,0.25,0.0213081066804103
$michi,0.5,0.03315585250412538
$michi,0.75,0.02760910074844075
$michi,0.9,0.01189342757468123
$michi,0.95,0.027197611395413088
$michi,0.05,0.009059949188909134
$michi,0.1,0.006678878680050736
$michi,0.25,0.009408474185690538
$michi,0.5,0.016684354312471908
$michi,0.75,0.01072672333841814
$michi,0.9,0.034688045594097966
$michi,0.95,0.04512843758140784
$michi,0.05,0.01231659167007488
$michi,0.1,0.010715484760696175
$michi,0.25,0.008904602449172043
$michi,0.5,0.022204978552747914
$michi,0.75,0.0368601906080994
$michi,0.9,0.030947832844805807
$michi,0.95,0.03630431175884711
$michi,0.05,0.012168402047051455
$michi,0.1,0.013822682605529288
$michi,0.25,0.014163527561613933
$michi,0.5,0.026454876751875533
$michi,0.75,0.03941348746388138
$michi,0.9,0.016069913613046837
$michi,0.95,0.02686173037339633
