token,tau,pinball
$WIF,0.95,0.014859686117542995
$WIF,0.05,0.005944339901641901
$WIF,0.25,0.013020114049224771
$WIF,0.5,0.022978653614221644
$WIF,0.75,0.057993894624730515
$WIF,0.95,0.020524719625038216
$WIF,0.05,0.011495787609480309
$WIF,0.25,0.01668842090364386
$WIF,0.5,0.014867247904680247
$WIF,0.75,0.04936953721704105
$WIF,0.95,0.014774039277463702
$WIF,0.05,0.013848432074155634
$WIF,0.25,0.016732978435133283
$WIF,0.5,0.042301776430735565
$WIF,0.75,0.051020515362999015
$WIF,0.95,0.02189937522381563
$michi,0.05,0.010980445426336574
$michi,0.25,0.030606970064616417
$michi,0.5,0.03315585250412538
$michi,0.75,0.04852338720671742
$michi,0.95,0.02655314333898819
$michi,0.05,0.0085797155960375
$michi,0.25,0.030517960217333457
$michi,0.5,0.016744185415865195
$michi,0.75,0.03319516464742553
$michi,0.95,0.04395346816514178
$michi,0.05,0.009724674341456067
$michi,0.25,0.02692316158459762
$michi,0.5,0.022204978552747914
$michi,0.75,0.05731445307470981
$michi,0.95,0.028407661450888275
$michi,0.05,0.010004667080393532
$michi,0.25,0.023121692614135724
$michi,0.5,0.026454876751875533
$michi,0.75,0.07086322727567047
$michi,0.95,0.025575217949477425
$michi,0.05,0.015208564121740688
$michi,0.25,0.024379776641235373
$michi,0.5,0.02204528675369359
$michi,0.75,0.028820614158261492
$michi,0.95,0.019505089665508957
$michi,0.05,0.011879230215975785
$michi,0.25,0.028348390343208556
$michi,0.5,0.029582979018340654
$michi,0.75,0.034417651796534714
$michi,0.95,0.015680807849127648
$michi,0.05,0.009821996859605523
$michi,0.25,0.03739414853755142
$michi,0.5,0.026153995061208943
$michi,0.75,0.036486177420075594
$michi,0.95,0.011224687637802266
$michi,0.05,0.021848248798104566
$michi,0.25,0.10315849305947704
$michi,0.5,0.10687399208251025
$michi,0.75,0.07145631618738502
$michi,0.95,0.0173294914174059
$michi,0.05,0.022338033643053548
$michi,0.25,0.06502661734990987
$michi,0.5,0.058025664973261996
$michi,0.75,0.035350310688453616
$michi,0.95,0.02066728516174947
$michi,0.05,0.019119209080065317
$michi,0.25,0.057663856225175135
$michi,0.5,0.02326608085152336
$michi,0.75,0.03529836149711744
$michi,0.95,0.022534789730536704
$michi,0.05,0.022861858565860805
$michi,0.25,0.05916343872330145
$michi,0.5,0.014999331343914306
$michi,0.75,0.02354858492098007
$michi,0.95,0.014110989354576761
$michi,0.05,0.028370241904333227
$michi,0.25,0.0976051350237968
$michi,0.5,0.06650739981545432
$michi,0.75,0.03551488895318917
$michi,0.95,0.029771007960352095
$michi,0.05,0.025302076988350703
$michi,0.25,0.07452881074714458
$michi,0.5,0.06826859331798067
$michi,0.75,0.04518161773576814
$michi,0.95,0.027016750880773193
$michi,0.05,0.02005172955635534
$michi,0.25,0.057399504351582954
$michi,0.5,0.027340001727423638
$michi,0.75,0.04989438499899626
$michi,0.95,0.022326464498173878
$michi,0.05,0.019824901347095334
$michi,0.25,0.06558541914901567
$michi,0.5,0.01404792955651697
$michi,0.75,0.047207163383157676
$michi,0.95,0.02079129890508576
$michi,0.05,0.019518117915808642
$michi,0.25,0.04490793768119267
$michi,0.5,0.02255938462117264
$michi,0.75,0.04782742083791275
$michi,0.95,0.02131919249082324
$michi,0.05,0.029578785708062993
$michi,0.25,0.08382192286071884
$michi,0.5,0.09204999649509471
$michi,0.75,0.06636370101967186
$michi,0.95,0.012193637176576988
$michi,0.05,0.030837732959588107
$michi,0.25,0.08386246539046964
$michi,0.5,0.056848140560475956
$michi,0.75,0.04240187911329057
$michi,0.95,0.0123826079295696
$michi,0.05,0.017626680150705468
$michi,0.25,0.04817651895474854
$michi,0.5,0.04232566631596279
$michi,0.75,0.03611724314680598
$michi,0.95,0.01118197687546922
$michi,0.05,0.025406938468759164
$michi,0.25,0.05423408447917722
$michi,0.5,0.029974389892434367
$michi,0.75,0.04476187194403997
$michi,0.95,0.01415123857046635
