token,fold,tau,pinball_loss
BOME,18,0.9,0.010634272447224905
BOME,19,0.1,0.04023470498701683
BOME,19,0.25,0.033570621694691404
BOME,19,0.5,0.022463816207482352
BOME,19,0.75,0.013177179548292275
BOME,19,0.9,0.007218306043777871
BOME,20,0.1,0.008771250992730342
BOME,20,0.25,0.008700340288910861
BOME,20,0.5,0.008582155782545063
BOME,20,0.75,0.009146685169706285
BOME,20,0.9,0.003718465125267466
BOME,21,0.1,0.005684156300920032
BOME,21,0.25,0.014210390752300081
BOME,21,0.5,0.028420781504600163
BOME,21,0.75,0.0345226099724414
BOME,21,0.9,0.033804896786113224
BOME,22,0.1,0.012517371543711483
BOME,22,0.25,0.011024082236886149
BOME,22,0.5,0.00853526672551059
BOME,22,0.75,0.0060844959461041305
BOME,22,0.9,0.0063913334862781
BOME,23,0.1,0.11313041774810978
BOME,23,0.25,0.09427534812342481
BOME,23,0.5,0.0628502320822832
BOME,23,0.75,0.0314251160411416
BOME,23,0.9,0.016088918259256912
BOME,24,0.1,0.0622097512091546
BOME,24,0.25,0.051841459340962175
BOME,24,0.5,0.03456097289397478
BOME,24,0.75,0.01728048644698739
BOME,24,0.9,0.009778521862864572
BOME,25,0.1,0.06570283914150928
BOME,25,0.25,0.054752365951257716
BOME,25,0.5,0.03650157730083847
BOME,25,0.75,0.019466464870330567
BOME,25,0.9,0.014659419511971429
BOME,26,0.1,0.01923128920162251
BOME,26,0.25,0.04507634183671436
BOME,26,0.5,0.08815142956186746
BOME,26,0.75,0.13046790893063848
BOME,26,0.9,0.15671820933645786
BOME,27,0.1,0.02159345571115595
BOME,27,0.25,0.045473861406787656
BOME,27,0.5,0.08527453756617383
BOME,27,0.75,0.12507521372556005
BOME,27,0.9,0.06672739986579983
BOME,28,0.1,0.09361630669138414
BOME,28,0.25,0.08189072080784487
BOME,28,0.5,0.06234807766861278
BOME,28,0.75,0.045248618666935914
BOME,28,0.9,0.026525306527703702
BOME,29,0.1,0.3152219253491917
BOME,29,0.25,0.26268493779099306
BOME,29,0.5,0.175123291860662
BOME,29,0.75,0.10587965955479177
BOME,29,0.9,0.05512923925857294
BOME,30,0.1,0.17323094848377776
BOME,30,0.25,0.14435912373648144
BOME,30,0.5,0.09623941582432095
BOME,30,0.75,0.06462477733810457
BOME,30,0.9,0.0378612140563731
BOME,31,0.1,0.10665100049524785
BOME,31,0.25,0.08887583374603987
BOME,31,0.5,0.05925055583069325
BOME,31,0.75,0.029881001432660304
BOME,31,0.9,0.02328477992938256
BOME,32,0.1,0.06601396363805283
BOME,32,0.25,0.05537059611334951
BOME,32,0.5,0.03763165023884399
BOME,32,0.75,0.019892704364338463
BOME,32,0.9,0.009249336839635145
BOME,33,0.1,0.0681210148377525
BOME,33,0.25,0.05680548082831385
BOME,33,0.5,0.037946257479249436
BOME,33,0.75,0.019087034130185036
BOME,33,0.9,0.010932146163752291
BOME,34,0.1,0.08841941116108075
BOME,34,0.25,0.07745582879889364
BOME,34,0.5,0.05918319152858186
BOME,34,0.75,0.03489542079134495
BOME,34,0.9,0.022082338657631314
FWOG,0,0.1,0.08386589142464429
FWOG,0,0.25,0.1277376082068147
FWOG,0,0.5,0.18201665395119263
FWOG,0,0.75,0.23045599701283503
FWOG,0,0.9,0.254815873242971
FWOG,1,0.1,0.08028768284712245
FWOG,1,0.25,0.11621226718816224
FWOG,1,0.5,0.16326840248225638
FWOG,1,0.75,0.1969206146768437
FWOG,1,0.9,0.18753915698371246
FWOG,2,0.1,0.328214898334421
FWOG,2,0.25,0.27351241527868425
FWOG,2,0.5,0.18234161018578945
FWOG,2,0.75,0.09117080509289473
FWOG,2,0.9,0.07854255900223052
FWOG,3,0.1,0.203205073907705
FWOG,3,0.25,0.1700610862468552
