tau,pinball
0.25,0.03198831968153366
0.5,0.033464495980076364
0.75,0.034547106593188805
0.95,0.059868259652251725
0.05,0.00994874877726927
0.25,0.016245583368454983
0.5,0.022507840759459812
0.75,0.025726705413281637
0.95,0.0024289699900048685
0.05,0.020458025211587755
0.25,0.01648431312862309
0.5,0.024421069584398394
0.75,0.03246168296721766
0.95,0.07911604957361602
0.05,0.0037903021532374377
0.25,0.02053929032533566
0.5,0.025829039061905482
0.75,0.10352295462021001
0.95,0.06715833905784606
0.05,0.11674945750491154
0.25,0.11050757176118442
0.5,0.07376260300062255
0.75,0.030698531356344236
0.95,0.008502484711127608
0.05,0.00813545401750775
0.25,0.050622975979953876
0.5,0.047799522958562456
0.75,0.027352079161946208
0.95,0.012168049210496773
0.05,0.0470353692281153
0.25,0.042515161713206635
0.5,0.0526262697835427
0.75,0.03754717147937796
0.95,0.010033845064446498
0.05,0.021368882649263315
0.25,0.017641816031602465
0.5,0.024040751136181576
0.75,0.015257546887377911
0.95,0.011249744309785426
0.05,0.007618041253052652
0.25,0.016237341206552906
0.5,0.019895714962065436
0.75,0.023381139717699232
0.95,0.009763144923003769
0.05,0.007883082926207692
0.25,0.02129097611255856
0.5,0.019734599339786243
0.75,0.0154902057799508
0.95,0.00432877895095774
0.05,0.00428096547225834
0.25,0.019748554538184897
0.5,0.03266494321894767
0.75,0.03459297468103845
0.95,0.010523004909766426
0.05,0.022540429129179144
0.25,0.024339460062511836
0.5,0.004972178840998799
0.75,0.014407144600349099
0.95,0.005484729051402894
0.05,0.005237451349117925
0.25,0.015756620580826507
0.5,0.02687101262601321
0.75,0.03500500246631211
0.95,0.022150298934439688
0.05,0.016266030550507286
0.25,0.02444495628889175
0.5,0.01876645011990297
0.75,0.016576088422791523
0.95,0.0032172452128319054
0.05,0.006113147671851397
0.25,0.030242951399586267
0.5,0.038082103783725285
0.75,0.032399615817370074
0.95,0.02364783008718323
0.05,0.016943449920314293
0.25,0.05146095693054786
0.5,0.015367584076602285
0.75,0.027046371021916874
0.95,0.00630058959530316
0.05,0.005104330282535434
0.25,0.01921378282816552
0.5,0.035899108977498304
0.75,0.017367675285026054
0.95,0.004362572327729052
0.05,0.0038614135809014113
0.25,0.009468937353654611
0.5,0.020561642131047258
0.75,0.030065828377045967
0.95,0.007182764028415029
0.05,0.010163189945186632
0.25,0.03597976760436778
0.5,0.026200564204099528
0.75,0.02147170779295743
0.95,0.0071326917273088234
0.05,0.02438810009510595
0.25,0.03340411266473812
0.5,0.05096331910391586
0.75,0.04003412175083283
0.95,0.02798625860143546
0.05,0.029446991665371746
0.25,0.03586109414037895
0.5,0.04353408692257373
0.75,0.024401413243123185
0.95,0.020124139762085092
0.05,0.028184395299178277
0.25,0.026482977001052177
0.5,0.03531152278004756
0.75,0.026610591750756408
0.95,0.011066416325843485
0.05,0.013726504908825862
0.25,0.02528920201034195
0.5,0.013381477107146482
0.75,0.009329010981648614
0.95,0.002978650759929744
0.05,0.035388734120359484
0.25,0.046874750682538054
0.5,0.027677307195373146
0.75,0.06909723562855692
0.95,0.07590843523584094
0.05,0.19935180027208213
0.25,0.09030677449413323
0.5,0.07254774840372753
0.75,0.025552125583654547
0.95,0.009813896742184728
0.05,0.07560596389035566
0.25,0.04693921120911815
0.5,0.053720860980146744
0.75,0.02630004204367732
0.95,0.009097480964688534
0.05,0.030375587889459005
0.25,0.02203326446774413
0.5,0.04076005015864533
0.75,0.041653879822690275
0.95,0.006072356945901976
0.05,0.007353599225096504
0.25,0.019851186863886375
0.5,0.022921398464190643
0.75,0.02443119835338788
