token,fold,tau,pinball_loss
ALCH,7,0.05,0.0250698225763801
ALCH,7,0.1,0.04939202740352432
ALCH,7,0.25,0.08874860143804296
ALCH,7,0.5,0.08126327500691476
ALCH,7,0.75,0.052079247914477794
ALCH,7,0.9,0.05006080962706752
ALCH,7,0.95,0.040150466277816745
ALCH,8,0.05,0.028421594302354428
ALCH,8,0.1,0.04987917952929551
ALCH,8,0.25,0.07705689041959767
ALCH,8,0.5,0.07379763135341601
ALCH,8,0.75,0.04948533024868429
ALCH,8,0.9,0.05753585701517464
ALCH,8,0.95,0.04450188809563963
ALCH,9,0.05,0.010708409382739356
ALCH,9,0.1,0.011179353630518583
ALCH,9,0.25,0.03930043983812311
ALCH,9,0.5,0.0816486398377808
ALCH,9,0.75,0.04810559382263344
ALCH,9,0.9,0.02075135659189917
ALCH,9,0.95,0.012807824657756655
ALCH,10,0.05,0.007554337298760931
ALCH,10,0.1,0.012125461800754073
ALCH,10,0.25,0.026861717063867113
ALCH,10,0.5,0.04268739345531772
ALCH,10,0.75,0.021957784519704496
ALCH,10,0.9,0.010572406078177993
ALCH,10,0.95,0.006334928503435293
ALCH,11,0.05,0.014650199267309502
ALCH,11,0.1,0.023618431122535286
ALCH,11,0.25,0.0365581813161287
ALCH,11,0.5,0.04247087159473769
ALCH,11,0.75,0.04391926482856793
ALCH,11,0.9,0.0343642532945274
ALCH,11,0.95,0.03841711544081872
ALCH,12,0.05,0.0181225621131828
ALCH,12,0.1,0.039554059784934884
ALCH,12,0.25,0.05787730421077782
ALCH,12,0.5,0.04451219364398176
ALCH,12,0.75,0.019118687995696524
ALCH,12,0.9,0.007922781909852931
ALCH,12,0.95,0.008635845895492026
ALCH,13,0.05,0.011360880764481914
ALCH,13,0.1,0.017064041965540903
ALCH,13,0.25,0.02969900862221152
ALCH,13,0.5,0.051842861423174784
ALCH,13,0.75,0.06534019138508611
ALCH,13,0.9,0.05376320673213166
ALCH,13,0.95,0.02533614128882451
ALCH,14,0.05,0.009593151323145845
ALCH,14,0.1,0.014701172347906799
ALCH,14,0.25,0.015063088711641958
ALCH,14,0.5,0.024959570750891946
ALCH,14,0.75,0.03410519867522164
ALCH,14,0.9,0.01893288272282893
ALCH,14,0.95,0.009983897747855536
