tau,pinball
0.5,0.07638553073491781
0.75,0.05250347459659065
0.95,0.017534310918108486
0.05,0.007293549134331323
0.25,0.025818728348515455
0.5,0.03865616354741182
0.75,0.05975170719911893
0.95,0.024518862717012178
0.05,0.020999563016704092
0.25,0.032878168576252524
0.5,0.04540053532719344
0.75,0.05981102763411214
0.95,0.08575969331049949
0.05,0.030615400075750504
0.25,0.02699330847736082
0.5,0.017253010106022332
0.75,0.0435122128062323
0.95,0.10943397399373443
0.05,0.08684162640458415
0.25,0.1254266800081876
0.5,0.07843545422700597
0.75,0.034012933801481814
0.95,0.038097807639678696
0.05,0.04794610638609378
0.25,0.09317173736869862
0.5,0.10937152766357498
0.75,0.03188557339266246
0.95,0.006245860001822625
0.05,0.12485740408120553
0.25,0.1496637105269732
0.5,0.11790889782239994
0.75,0.042948141568923875
0.95,0.005591258372275791
0.05,0.18840147757431733
0.25,0.0744332693018041
0.5,0.10323209841000598
0.75,0.04385853078491415
0.95,0.007527207692489105
0.05,0.04988520906992663
0.25,0.05447912313713369
0.5,0.05132676429763281
0.75,0.12070293767447553
0.95,0.06130336119994187
0.05,0.006951756646414879
0.25,0.04704182908806961
0.5,0.06519137345301948
0.75,0.07457606846993414
0.95,0.04323707277400838
0.05,0.0313417829826551
0.25,0.02727534788396349
0.5,0.057346453174787836
0.75,0.04226601624202789
0.95,0.1304807921718819
0.05,0.10831846200791141
0.25,0.09696929381757308
0.5,0.03367083898890045
0.75,0.044035705762530686
0.95,0.018449081667897795
0.05,0.016695805099403927
0.25,0.047222848111941274
0.5,0.06347402946103992
0.75,0.056384698298120706
0.95,0.07019414443396067
0.05,0.011214636836983954
0.25,0.050932881654528084
0.5,0.02337159896369113
0.75,0.09245921793235508
0.95,0.07518905570347327
0.05,0.020634623798481563
0.25,0.047186766088439254
0.5,0.05349955321746641
0.75,0.08759951600389275
0.95,0.0860950128718458
0.05,0.0070762242945983525
0.25,0.01618646094129531
0.5,0.04345648989983577
0.75,0.09725422379422693
0.95,0.09125856681911149
0.05,0.006424617408354948
0.25,0.02915599325046936
0.5,0.03142009884307328
0.75,0.0400865485765496
0.95,0.013213004312494484
0.05,0.05352402453866766
0.25,0.06353866869686602
0.5,0.055686093228757484
0.75,0.04549228126240588
0.95,0.026459447323442655
0.05,0.040881439256681015
0.25,0.029411783355921223
0.5,0.04078657201968564
0.75,0.04890021241573711
0.95,0.08115321577789515
0.05,0.05487597221182491
0.25,0.07219174208894269
0.5,0.033065545751747506
0.75,0.09942562994669686
0.95,0.0991070733897506
0.05,0.056118368025566016
0.25,0.05433866722196239
0.5,0.055994144386760626
0.75,0.04986957999546595
0.95,0.010021487060434568
0.05,0.009323516899169307
0.25,0.03896598310895632
0.5,0.07490768774631962
0.75,0.04209545646647003
0.95,0.008172836613479955
0.05,0.01231760231917202
0.25,0.0408976037937358
0.5,0.09123220525825988
0.75,0.0914108148795153
0.95,0.0289554657616585
0.05,0.0164192996603397
0.25,0.02276805362836819
0.5,0.05353394414170045
0.75,0.1297937579203412
0.95,0.005851264151696056
0.05,0.02909724156879506
0.25,0.07560978997684148
0.5,0.12013804597995971
0.75,0.21824113137500722
0.95,0.12201284271460944
0.05,0.025624300661643413
0.25,0.028154073927209047
0.5,0.043032083229298475
0.75,0.044295969589294076
0.95,0.013960357461048456
0.05,0.002076367641837702
0.25,0.053230813417081274
0.5,0.1956952391404039
0.75,0.08659536841433228
0.95,0.007654845489136614
0.05,0.012676164681081953
0.25,0.01969777638012124
0.5,0.10255628551422703
0.75,0.02501352450364792
