token,tau,pinball
ALCH,0.75,0.037925962776306284
ALCH,0.95,0.022675687025450943
ALCH,0.05,0.013516249215466299
ALCH,0.25,0.029191750556570698
ALCH,0.5,0.017583691611765765
ALCH,0.75,0.01930064742661754
ALCH,0.95,0.01333590793692472
ALCH,0.05,0.008696411884589925
ALCH,0.25,0.02009764241010618
ALCH,0.5,0.014848111582367396
ALCH,0.75,0.0288385498533298
ALCH,0.95,0.01668635502765434
ALCH,0.05,0.01012154707326885
ALCH,0.25,0.012031099949417529
ALCH,0.5,0.01302390785264744
ALCH,0.75,0.023851796402875977
ALCH,0.95,0.01842283018485194
AVA,0.05,0.01891464255810874
AVA,0.25,0.0411560011891564
AVA,0.5,0.04381439221639108
AVA,0.75,0.044111373026875074
AVA,0.95,0.02396281131740394
AVA,0.05,0.02097340647478101
AVA,0.25,0.046036730611057924
AVA,0.5,0.02502006242238811
AVA,0.75,0.021105933427086124
AVA,0.95,0.02734383486771021
AVA,0.05,0.01850498118058044
AVA,0.25,0.022298970040630122
AVA,0.5,0.027674546054871324
AVA,0.75,0.04055822083921492
AVA,0.95,0.04219472552230947
AVA,0.05,0.020447325055014877
AVA,0.25,0.030044050451962914
AVA,0.5,0.01894461384551695
AVA,0.75,0.022669073374659444
AVA,0.95,0.018596328433457536
AVA,0.05,0.01595104931402184
AVA,0.25,0.027796412128921432
AVA,0.5,0.02798531960783758
AVA,0.75,0.04391009112148365
AVA,0.95,0.01903252886376268
AVA,0.05,0.010345924880239006
AVA,0.25,0.027700661677195357
AVA,0.5,0.03872532332237424
AVA,0.75,0.03270223303427383
AVA,0.95,0.06311355447410505
AVA,0.05,0.015598384737942174
AVA,0.25,0.0299727217427976
AVA,0.5,0.02485338613469634
AVA,0.75,0.03652077605964822
AVA,0.95,0.019799803577806394
AVA,0.05,0.014315843897734189
AVA,0.25,0.04386393094547452
AVA,0.5,0.019502607969020695
AVA,0.75,0.056300838898184304
AVA,0.95,0.032442529467301966
AVA,0.05,0.027017553510267786
AVA,0.25,0.07671681976886818
AVA,0.5,0.05977579524258133
AVA,0.75,0.05488138133521267
AVA,0.95,0.0749406862486462
AVA,0.05,0.0320309582772962
AVA,0.25,0.04617784101422386
AVA,0.5,0.060184674146715945
AVA,0.75,0.04358206719933219
AVA,0.95,0.035845407124656725
AVA,0.05,0.030698053909627626
AVA,0.25,0.0581969101540637
AVA,0.5,0.01918862157843129
AVA,0.75,0.016530518265404623
AVA,0.95,0.016703932884813966
AVA,0.05,0.0408411949189198
AVA,0.25,0.11106669520460526
AVA,0.5,0.10047426173166925
AVA,0.75,0.10318925763999347
AVA,0.95,0.042429438658161796
AVA,0.05,0.033983484293478305
AVA,0.25,0.0716260774526351
AVA,0.5,0.07101349223811697
AVA,0.75,0.06017637240576904
AVA,0.95,0.04388871595851935
AVA,0.05,0.02414020169633374
AVA,0.25,0.02631681754170477
AVA,0.5,0.03959298627880151
AVA,0.75,0.06475204080774978
AVA,0.95,0.026467061773486594
AVA,0.05,0.03125152195340026
AVA,0.25,0.06045844927519253
AVA,0.5,0.05644388367618063
AVA,0.75,0.05327655107169127
AVA,0.95,0.044330827933131915
AVA,0.05,0.029939115376469247
AVA,0.25,0.074238637115168
AVA,0.5,0.03885778816742488
AVA,0.75,0.0700048033973968
AVA,0.95,0.03952491061874519
AVA,0.05,0.011732259221971875
AVA,0.25,0.046960204074847765
AVA,0.5,0.05208691425628099
AVA,0.75,0.11355920183373007
AVA,0.95,0.04463900328528798
AVA,0.05,0.013333807929553597
AVA,0.25,0.030528612749146773
AVA,0.5,0.04637215237298911
AVA,0.75,0.11091546936213954
AVA,0.95,0.03422882092351095
AVA,0.05,0.016402393993157873
AVA,0.25,0.037277097105572816
AVA,0.5,0.019738112575442522
AVA,0.75,0.05815664954310784
AVA,0.95,0.02891438082823418
AVA,0.05,0.013685851344021921
AVA,0.25,0.02757301655195374
AVA,0.5,0.012087182354272696
AVA,0.75,0.04718579924644697
AVA,0.95,0.04029091539797761
AVA,0.05,0.010718676462735803
AVA,0.25,0.04647490854035691
AVA,0.5,0.05777948968287205
AVA,0.75,0.05509263975592543
AVA,0.95,0.02196895890362908
AVA,0.05,0.018735765039140855
AVA,0.25,0.041091568461562665
AVA,0.5,0.047079102534960775
AVA,0.75,0.01999231541457866
AVA,0.95,0.0180940310484436
AVA,0.05,0.011164135077987032
AVA,0.25,0.03124924694018159
AVA,0.5,0.07885935261783193
AVA,0.75,0.062200308211536416
AVA,0.95,0.026059769913784447
AVA,0.05,0.018113841645776677
AVA,0.25,0.044163721262453604
AVA,0.5,0.044606198240331886
AVA,0.75,0.03854654334854785
AVA,0.95,0.018506216540923288
AVA,0.05,0.013313941524558975
AVA,0.25,0.039418599979339886
AVA,0.5,0.030364302000514848
AVA,0.75,0.05282425374022753
AVA,0.95,0.023882898556282256
BOME,0.05,0.007131130220251111
BOME,0.25,0.02094348225870209
BOME,0.5,0.01298153835804932
