model,token,tau,pinball_mean,pinball_se,coverage80,coverage90,width80_mean,width90_mean,n_obs
QRF_v3,ALCH,0.1,0.026351594022302253,0.002982770075261848,0.7266666666666667,0.82,0.3635052280128953,0.4804122827347025,150
QRF_v3,ALCH,0.25,0.04389674786260598,0.004628685721444074,0.7266666666666667,0.82,0.3635052280128953,0.4804122827347025,150
QRF_v3,ALCH,0.5,0.05921735379285629,0.007019677874849055,0.7266666666666667,0.82,0.3635052280128953,0.4804122827347025,150
QRF_v3,ALCH,0.75,0.049038903833176606,0.006920020031326746,0.7266666666666667,0.82,0.3635052280128953,0.4804122827347025,150
QRF_v3,ALCH,0.9,0.03307680556711516,0.005507892098614588,0.7266666666666667,0.82,0.3635052280128953,0.4804122827347025,150
QRF_v3,ALCH,0.95,0.022821048514494232,0.004622186310479631,0.7266666666666667,0.82,0.3635052280128953,0.4804122827347025,150
QRF_v3,AVA,0.05,0.012024520906731532,0.0016044350606493614,0.6066666666666667,0.6933333333333334,0.21506311914187995,0.2792965730858244,150
QRF_v3,AVA,0.1,0.017658717024343667,0.001669533400417124,0.6066666666666667,0.6933333333333334,0.21506311914187995,0.2792965730858244,150
QRF_v3,AVA,0.25,0.027201546695227907,0.0020076517573133688,0.6066666666666667,0.6933333333333334,0.21506311914187995,0.2792965730858244,150
QRF_v3,AVA,0.5,0.03767884820117979,0.002498009036370161,0.6066666666666667,0.6933333333333334,0.21506311914187995,0.2792965730858244,150
QRF_v3,AVA,0.75,0.0353036525379118,0.0027813957175993253,0.6066666666666667,0.6933333333333334,0.21506311914187995,0.2792965730858244,150
QRF_v3,AVA,0.9,0.02342891857537527,0.0022988238492777143,0.6066666666666667,0.6933333333333334,0.21506311914187995,0.2792965730858244,150
QRF_v3,AVA,0.95,0.01621142558812493,0.0018158288960678374,0.6066666666666667,0.6933333333333334,0.21506311914187995,0.2792965730858244,150
