token,tau,dm_qrf_vs_lqr,p_qrf_vs_lqr,dm_qrf_vs_lgbm,p_qrf_vs_lgbm,n
MOODENG,0.5,-2.5106011354046935,0.012052579236239591,-1.109550275464374,0.267192868500842,126
PONKE,0.5,-0.3258928061265657,0.7445054587178084,-0.9717046527591006,0.3311975014295907,126
POPCAT,0.5,-1.490853909784713,0.13599985437689677,-2.2063481613356655,0.02735963166389288,126
Pnut,0.5,-1.2110274698431593,0.2258848768898405,-0.9798180186400892,0.32717595611899974,126
RETARDIO,0.5,-0.7019924023397963,0.48268390161128116,-2.643547261866755,0.008204231106076598,186
Ray,0.5,-2.2722549992326497,0.023071113102491658,-2.7674686359889984,0.005649348105793095,126
SIGMA,0.5,-1.720970170432762,0.08525623694740236,-2.0940726741047104,0.036253506861722684,126
UFD,0.5,-0.9815883200769216,0.326302703918542,-0.4694751576591476,0.6387300377520215,96
ZEREBRO,0.5,0.7873669871782609,0.4310670663171656,-1.3041371333621805,0.19218682999419712,126
$WIF,0.75,-0.48896316252020533,0.624867776964142,-0.9034184048276545,0.3663038755583279,126
$michi,0.75,-0.7811575732036973,0.4347098236006244,-1.1412778902992018,0.2537542998646036,126
ALCH,0.75,-2.329952009438359,0.019808687703905203,-1.3774781392682658,0.16836446897871582,126
AVA,0.75,-3.8620556319910735,0.00011243695371110363,-0.8939145727939546,0.37136760007719305,126
FWOG,0.75,-1.6515460169854013,0.09862713253969213,-2.164791329735932,0.030403669098367114,126
Fartcoin,0.75,-1.69226376911357,0.0905956926060929,-0.40346000386729886,0.6866098523433384,186
GIGA,0.75,-1.4678856133590052,0.14213529670323988,-2.6622145858125394,0.007762837237137665,126
GOAT,0.75,0.19224013508892004,0.8475541089078404,-0.5679308244935127,0.5700819404760185,126
MEW,0.75,-2.0919543744773943,0.036442597308743885,-2.3681510652451507,0.017877234767181616,126
MLG,0.75,1.2481561835955064,0.21197386648861993,-0.18724831927240737,0.8514659414507757,126
MOODENG,0.75,-3.0996476665074586,0.0019375097035538857,-0.8539910407376189,0.39310995353641465,126
PONKE,0.75,0.3738121851278851,0.7085440532419724,-0.8190708133968191,0.4127460128775333,126
POPCAT,0.75,-0.37816983966855916,0.7053044291226496,-0.07603692914561946,0.9393897180183133,126
Pnut,0.75,-1.374364266234852,0.16932862391968628,-0.644151803649281,0.5194770006435092,126
RETARDIO,0.75,-0.4957409148282922,0.6200772162625003,-1.853287781278389,0.0638411215578123,186
Ray,0.75,-2.7896468412343873,0.005276556279018241,-2.0334799921184468,0.04200405296009668,126
SIGMA,0.75,-2.2840268915051727,0.02236995057252722,-2.983159675299495,0.002852891146401415,126
UFD,0.75,-0.8221682885705018,0.41098112420630173,-1.7276881993386521,0.08404414035259755,96
ZEREBRO,0.75,1.116751585561011,0.264100554635887,0.12352538168001817,0.9016910765266422,126
$WIF,0.9,-0.8426725919522221,0.3994115798554714,-0.9875871679729413,0.3233548732828144,126
$michi,0.9,-1.0782697962110421,0.28091337195509913,-0.5149466014233459,0.6065903349519508,126
