token,pinball,tau,model
Fartcoin,0.03669931220454493,0.75,QRF
GIGA,0.02819278611983817,0.75,QRF
GOAT,0.0743041230809189,0.75,QRF
MEW,0.021582268511810495,0.75,QRF
MLG,0.06159500726891152,0.75,QRF
MOODENG,0.02034197426147421,0.75,QRF
PONKE,0.028224085785369443,0.75,QRF
POPCAT,0.03468538041986538,0.75,QRF
Pnut,0.02986025313024484,0.75,QRF
RETARDIO,0.033164801178641845,0.75,QRF
Ray,0.015901930419535082,0.75,QRF
SIGMA,0.024197870211236976,0.75,QRF
UFD,0.05065990950768049,0.75,QRF
ZEREBRO,0.1076908147156593,0.75,QRF
$WIF,0.021802305062477347,0.9,QRF
$michi,0.017540449574345345,0.9,QRF
ALCH,0.03529434075066576,0.9,QRF
AVA,0.017902339071843767,0.9,QRF
FWOG,0.042209193026527515,0.9,QRF
Fartcoin,0.024069341252037153,0.9,QRF
GIGA,0.01938686363392884,0.9,QRF
GOAT,0.06377689363805573,0.9,QRF
MEW,0.014177682690819003,0.9,QRF
MLG,0.03956189117315728,0.9,QRF
MOODENG,0.013610156411493195,0.9,QRF
PONKE,0.020708365490877213,0.9,QRF
POPCAT,0.028326766043891893,0.9,QRF
Pnut,0.018784399309198632,0.9,QRF
RETARDIO,0.021082354549196686,0.9,QRF
Ray,0.008994439286369484,0.9,QRF
SIGMA,0.014792075408078253,0.9,QRF
UFD,0.031964470899587885,0.9,QRF
ZEREBRO,0.11002526201195964,0.9,QRF
$WIF,0.016658802201512148,0.95,QRF
$michi,0.010889976485237195,0.95,QRF
ALCH,0.02537171724249951,0.95,QRF
AVA,0.011131531879973405,0.95,QRF
FWOG,0.030875562533706293,0.95,QRF
Fartcoin,0.014424456191250344,0.95,QRF
GIGA,0.01273420672653211,0.95,QRF
GOAT,0.052161007937853915,0.95,QRF
MEW,0.008940650323516423,0.95,QRF
MLG,0.024101110936657427,0.95,QRF
MOODENG,0.009701152765379402,0.95,QRF
PONKE,0.012170108284515533,0.95,QRF
POPCAT,0.022205254056098165,0.95,QRF
Pnut,0.012355337813165591,0.95,QRF
RETARDIO,0.013286863403239976,0.95,QRF
Ray,0.005573212226779051,0.95,QRF
SIGMA,0.009156635783819585,0.95,QRF
UFD,0.017733919222257095,0.95,QRF
ZEREBRO,0.09982262094499188,0.95,QRF
$WIF,0.009806861075207637,0.05,LQR
$michi,0.010433797348405537,0.05,LQR
ALCH,0.03766907237724297,0.05,LQR
AVA,0.02868959992993788,0.05,LQR
FWOG,0.05000277982876695,0.05,LQR
Fartcoin,0.18915696312673316,0.05,LQR
GIGA,0.036909944628726474,0.05,LQR
GOAT,0.02931121377555668,0.05,LQR
MEW,0.008553785718688745,0.05,LQR
MLG,0.016902916950656183,0.05,LQR
MOODENG,0.009327195593331913,0.05,LQR
PONKE,0.00990151891117504,0.05,LQR
POPCAT,0.014518827049426674,0.05,LQR
Pnut,0.01201612201567709,0.05,LQR
RETARDIO,0.015622037778947261,0.05,LQR
Ray,0.006379045852140043,0.05,LQR
SIGMA,0.01706108848087493,0.05,LQR
UFD,0.02700102278359727,0.05,LQR
ZEREBRO,0.01883213227028934,0.05,LQR
$WIF,0.020261048995761848,0.1,LQR
$michi,0.024276122969707305,0.1,LQR
ALCH,0.05144648513368516,0.1,LQR
AVA,0.03954182439259238,0.1,LQR
FWOG,0.08479500162994034,0.1,LQR
Fartcoin,0.20527423735372036,0.1,LQR
GIGA,0.04350836161983244,0.1,LQR
GOAT,0.04411493967477322,0.1,LQR
MEW,0.013260021465023069,0.1,LQR
MLG,0.029495397845591426,0.1,LQR
MOODENG,0.014298965390412215,0.1,LQR
PONKE,0.015701751907724843,0.1,LQR
POPCAT,0.02177098765924679,0.1,LQR
Pnut,0.017926518378886782,0.1,LQR
RETARDIO,0.024349665177584242,0.1,LQR
Ray,0.009934039281170514,0.1,LQR
SIGMA,0.025346958987188174,0.1,LQR
UFD,0.03712225762766445,0.1,LQR
ZEREBRO,0.025851603109995933,0.1,LQR
$WIF,0.02800348716228052,0.25,LQR
$michi,0.03639410788155038,0.25,LQR
ALCH,0.07619289829919001,0.25,LQR
AVA,0.05235717934660481,0.25,LQR
FWOG,0.1145337024564115,0.25,LQR
Fartcoin,0.19037911005819014,0.25,LQR
GIGA,0.04783209009138048,0.25,LQR
GOAT,0.07250103315932628,0.25,LQR
MEW,0.02402393807671522,0.25,LQR
MLG,0.043342424957642116,0.25,LQR
MOODENG,0.028529193060757133,0.25,LQR
PONKE,0.025267933223462064,0.25,LQR
POPCAT,0.03232506709662751,0.25,LQR
Pnut,0.03335814305473017,0.25,LQR
RETARDIO,0.03555547653540198,0.25,LQR
Ray,0.019347515874774335,0.25,LQR
SIGMA,0.041366818723107275,0.25,LQR
UFD,0.06174542840836914,0.25,LQR
ZEREBRO,0.04736170979538603,0.25,LQR
$WIF,0.03733441753797768,0.5,LQR
$michi,0.03796552576084404,0.5,LQR
ALCH,0.0830400962778853,0.5,LQR
AVA,0.05771764665769793,0.5,LQR
FWOG,0.10400042253031054,0.5,LQR
Fartcoin,0.18162532031390838,0.5,LQR
GIGA,0.054365589447746346,0.5,LQR
GOAT,0.09616445243527692,0.5,LQR
MEW,0.03615355852127158,0.5,LQR
MLG,0.05023343790547172,0.5,LQR
MOODENG,0.03938266870257602,0.5,LQR
PONKE,0.029755991345393785,0.5,LQR
POPCAT,0.04568434727984275,0.5,LQR
Pnut,0.04668483196749429,0.5,LQR
RETARDIO,0.04149642115598518,0.5,LQR
Ray,0.025307546949353957,0.5,LQR
SIGMA,0.04306615618491558,0.5,LQR
UFD,0.07465109003809065,0.5,LQR
ZEREBRO,0.06267571643548288,0.5,LQR
$WIF,0.03516373706722223,0.75,LQR
$michi,0.032939502857312716,0.75,LQR
ALCH,0.07590241532946708,0.75,LQR
AVA,0.04838960333794909,0.75,LQR
FWOG,0.10535773176262399,0.75,LQR
Fartcoin,0.1195802325037745,0.75,LQR
GIGA,0.04231689063351805,0.75,LQR
GOAT,0.06913673126648447,0.75,LQR
MEW,0.035074606182290614,0.75,LQR
MLG,0.045903169422306586,0.75,LQR
MOODENG,0.03140346980066517,0.75,LQR
PONKE,0.02662161357332899,0.75,LQR
POPCAT,0.03794181399586254,0.75,LQR
Pnut,0.05516811451438891,0.75,LQR
RETARDIO,0.0357992230442292,0.75,LQR
Ray,0.02271704042728719,0.75,LQR
SIGMA,0.0400267578968566,0.75,LQR
UFD,0.06491333198425352,0.75,LQR
ZEREBRO,0.06064810000453705,0.75,LQR
$WIF,0.027670579036763513,0.9,LQR
$michi,0.021395456801650063,0.9,LQR
ALCH,0.06161154441510301,0.9,LQR
AVA,0.025791780368367104,0.9,LQR
FWOG,0.061501720475164806,0.9,LQR
Fartcoin,0.06700155102624214,0.9,LQR
GIGA,0.02802902873361766,0.9,LQR
GOAT,0.0625242372014702,0.9,LQR
MEW,0.03245480865175313,0.9,LQR
MLG,0.03224186364401534,0.9,LQR
MOODENG,0.019740598538118492,0.9,LQR
PONKE,0.020172018515012765,0.9,LQR
POPCAT,0.026903962183260993,0.9,LQR
Pnut,0.03319172657758001,0.9,LQR
RETARDIO,0.024257500831087606,0.9,LQR
Ray,0.017833614745764368,0.9,LQR
SIGMA,0.030368517846873794,0.9,LQR
UFD,0.048075630497872744,0.9,LQR
ZEREBRO,0.049127664601513334,0.9,LQR
$WIF,0.01805924007837419,0.95,LQR
$michi,0.013683057374593938,0.95,LQR
ALCH,0.03586120779066133,0.95,LQR
AVA,0.017397164981079582,0.95,LQR
